name,release_date,price,genres,tags,review_count,review_score_text,review_score,platforms,developers,publishers,category_price,release_year
Gal*Gun Returns,2021-02-12,689440.0,"['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing', 'Action', 'Adventure']",188,Very Positive,7,"['windows', 'mac', 'linux']","['INTI CREATES CO., LTD.']",['PQube'],Paid,2021
Pulling No Punches,2022-08-10,69999.0,"['Action', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together', 'Family Sharing', 'Action', 'Indie']",491,Very Positive,7,"['windows', 'mac', 'linux']",['BrainDead Broccoli'],"['BrainDead Broccoli', 'QUByte Interactive']",Paid,2022
STASIS: BONE TOTEM,2023-05-31,165999.0,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Indie']",1713,Very Positive,7,"['windows', 'mac', 'linux']",['THE BROTHERHOOD'],['THE BROTHERHOOD'],Paid,2023
My Yandere Sister loves me too much!,2020-10-16,99999.0,['Casual'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing', 'Casual']",226,Mostly Positive,5,"['windows', 'mac', 'linux']",['Norn'],['Cherry Kiss Games'],Paid,2020
Love n Dream: Virtual Happiness,2020-12-19,28999.0,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing', 'Casual', 'Indie']",285,Very Positive,7,"['windows', 'mac', 'linux']",['Secret Labo'],['Secret Labo'],Paid,2020
Re:Destiny,2021-11-19,37999.0,"['Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Casual', 'Indie', 'RPG']",401,Very Positive,7,"['windows', 'mac', 'linux']",['D-Ark Studio'],['Secret Labo'],Paid,2021
It Takes Two,2021-03-25,479000.0,"['Action', 'Adventure']","['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Action', 'Adventure']",175529,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Hazelight Studios'],['Electronic Arts'],Paid,2021
Hello Puppets!,2020-10-22,108999.0,['Adventure'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing', 'Adventure']",185,Mostly Positive,5,"['windows', 'mac', 'linux']",['Otherworld Interactive'],['Otherworld Interactive'],Paid,2020
Age of Darkness: Final Stand,2025-01-15,229499.0,['Strategy'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing', 'Strategy']",8236,Mostly Positive,5,"['windows', 'mac', 'linux']",['PlaySide'],['PlaySide'],Paid,2025
Fate of Kai,2021-03-19,52999.0,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Family Sharing', 'Adventure', 'Casual', 'Indie']",156,Very Positive,7,"['windows', 'mac', 'linux']",['TRYLIGHT GAME STUDIO'],['TheGamePublisher.com'],Paid,2021
